"velocity:0","velocity:1","velocity:2","vtkGhostType","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2806,6.6643e-05,0,0,1.4914,1,0.5263,5.1,0.7263,0
1.2825,6.66e-05,0,0,1.4914,1,0.5282,5.1,0.7282,0
1.2845,6.6557e-05,0,0,1.4914,1,0.5301,5.1,0.7301,0
1.2864,6.6514e-05,0,0,1.4914,1,0.532,5.1,0.732,0
1.2884,6.6471e-05,0,0,1.4914,1,0.5339,5.1,0.7339,0
1.2903,6.6428e-05,0,0,1.4914,1,0.5358,5.1,0.7358,0
1.2923,6.6385e-05,0,0,1.4914,1,0.5377,5.1,0.7377,0
1.2942,6.6342e-05,0,0,1.4914,1,0.5396,5.1,0.7396,0
1.2962,6.6299e-05,0,0,1.4914,1,0.5415,5.1,0.7415,0
1.2981,6.6256e-05,0,0,1.4914,1,0.5434,5.1,0.7434,0
1.3001,6.6213e-05,0,0,1.4914,1,0.5453,5.1,0.7453,0
1.3021,6.617e-05,0,0,1.4914,1,0.5472,5.1,0.7472,0
1.304,6.6127e-05,0,0,1.4914,1,0.5491,5.1,0.7491,0
1.306,6.6084e-05,0,0,1.4914,1,0.551,5.1,0.751,0
1.3079,6.6041e-05,0,0,1.4914,1,0.5529,5.1,0.7529,0
1.3099,6.5998e-05,0,0,1.4914,1,0.5548,5.1,0.7548,0
1.3118,6.5955e-05,0,0,1.4914,1,0.5567,5.1,0.7567,0
1.3138,6.5912e-05,0,0,1.4914,1,0.5586,5.1,0.7586,0
1.3157,6.5869e-05,0,0,1.4914,1,0.5605,5.1,0.7605,0
1.3177,6.5826e-05,0,0,1.4914,1,0.5624,5.1,0.7624,0
1.3196,6.5783e-05,0,0,1.4914,1,0.5643,5.1,0.7643,0
1.3216,6.574e-05,0,0,1.4914,1,0.5662,5.1,0.7662,0
1.3236,6.5697e-05,0,0,1.4914,1,0.5681,5.1,0.7681,0
1.3255,6.5654e-05,0,0,1.4914,1,0.57,5.1,0.77,0
1.3275,6.5611e-05,0,0,1.4914,1,0.5719,5.1,0.7719,0
1.3294,6.5568e-05,0,0,1.4914,1,0.5738,5.1,0.7738,0
1.3314,6.5525e-05,0,0,1.4914,1,0.5757,5.1,0.7757,0
1.3333,6.5482e-05,0,0,1.4914,1,0.5776,5.1,0.7776,0
1.3353,6.5439e-05,0,0,1.4914,1,0.5795,5.1,0.7795,0
1.3372,6.5396e-05,0,0,1.4914,1,0.5814,5.1,0.7814,0
1.3392,6.5353e-05,0,0,1.4914,1,0.5833,5.1,0.7833,0
1.3411,6.531e-05,0,0,1.4914,1,0.5852,5.1,0.7852,0
1.3431,6.5267e-05,0,0,1.4914,1,0.5871,5.1,0.7871,0
1.3451,6.5224e-05,0,0,1.4914,1,0.589,5.1,0.789,0
1.347,6.5181e-05,0,0,1.4914,1,0.5909,5.1,0.7909,0
1.349,6.5138e-05,0,0,1.4914,1,0.5928,5.1,0.7928,0
1.3509,6.5095e-05,0,0,1.4914,1,0.5947,5.1,0.7947,0
1.3529,6.5052e-05,0,0,1.4914,1,0.5966,5.1,0.7966,0
1.3548,6.5009e-05,0,0,1.4914,1,0.5985,5.1,0.7985,0
1.3567,6.4928e-05,0,0,1.4914,1,0.6004,5.1,0.8004,0
1.358,6.4702e-05,0,0,1.4914,1,0.6023,5.1,0.8023,0
1.3594,6.4476e-05,0,0,1.4914,1,0.6042,5.1,0.8042,0
1.3608,6.4251e-05,0,0,1.4914,1,0.6061,5.1,0.8061,0
1.3622,6.4025e-05,0,0,1.4914,1,0.608,5.1,0.808,0
1.3636,6.38e-05,0,0,1.4914,1,0.6099,5.1,0.8099,0
1.365,6.3574e-05,0,0,1.4914,1,0.6118,5.1,0.8118,0
1.3664,6.3348e-05,0,0,1.4914,1,0.6137,5.1,0.8137,0
1.3678,6.3123e-05,0,0,1.4914,1,0.6156,5.1,0.8156,0
1.3691,6.2897e-05,0,0,1.4914,1,0.6175,5.1,0.8175,0
1.3705,6.2672e-05,0,0,1.4914,1,0.6194,5.1,0.8194,0
1.3719,6.2446e-05,0,0,1.4914,1,0.6213,5.1,0.8213,0
